method,sigma_y,dim_x,dim_y,seed,sliced_wasserstein_distance
smc_diff_opt,0.1,10,4,100,0.1135366583221461
smc_diff_opt,0.1,10,4,101,0.1224502508574389
smc_diff_opt,0.1,10,4,404,0.137902364989605
smc_diff_opt,0.1,10,4,1000,0.1225331083595282
smc_diff_opt,0.1,100,1,0,0.4397604546299578
smc_diff_opt,0.1,100,1,10,0.5558251154492018
smc_diff_opt,0.1,100,1,100,0.8891323755800223
smc_diff_opt,0.1,100,1,101,0.2929842418181062
smc_diff_opt,0.1,100,1,404,0.547269181727372
smc_diff_opt,0.1,100,1,1000,0.6649865381248473
smc_diff_opt,0.1,100,2,0,0.4563573419967304
smc_diff_opt,0.1,100,2,10,0.1730689942159013
smc_diff_opt,0.1,100,2,100,0.2087800099395081
smc_diff_opt,0.1,100,2,101,1.5394912420984206
smc_diff_opt,0.1,100,2,404,1.7482704019764208
smc_diff_opt,0.1,100,2,1000,0.1814497069310007
smc_diff_opt,0.1,100,4,0,0.1831848944605529
smc_diff_opt,0.1,100,4,10,0.1946972046623901
smc_diff_opt,0.1,100,4,100,0.2118988637001305
smc_diff_opt,0.1,100,4,101,0.3572350049147177
smc_diff_opt,0.1,100,4,404,0.2305393256475212
smc_diff_opt,0.1,100,4,1000,0.1951177671809442
smc_diff_opt,0.5,10,1,0,1.5211654435110873
smc_diff_opt,0.5,10,1,10,1.0674039508447617
smc_diff_opt,0.5,10,1,100,1.2724343830153442
smc_diff_opt,0.5,10,1,101,0.8034125743200928
smc_diff_opt,0.5,10,1,404,0.8794694863709778
smc_diff_opt,0.5,10,1,1000,0.3419577888788528
smc_diff_opt,0.5,10,2,0,1.7242862122816065
smc_diff_opt,0.5,10,2,10,0.3857863620961509
smc_diff_opt,0.5,10,2,100,1.011734608853895
smc_diff_opt,0.5,10,2,101,0.3800047815186319
smc_diff_opt,0.5,10,2,404,0.4606306747045413
smc_diff_opt,0.5,10,2,1000,0.1319104619228349
smc_diff_opt,0.5,10,4,0,0.1254395847469461
smc_diff_opt,0.5,10,4,10,0.2916588942335792
smc_diff_opt,0.5,10,4,100,0.0974141819477324
smc_diff_opt,0.5,10,4,101,0.1289050289711234
smc_diff_opt,0.5,10,4,404,0.1604513301885577
smc_diff_opt,0.5,10,4,1000,0.1388886938584347
smc_diff_opt,0.5,100,1,0,1.904687219263542
smc_diff_opt,0.5,100,1,10,0.434732687193688
smc_diff_opt,0.5,100,1,100,0.7934717339331224
smc_diff_opt,0.5,100,1,101,1.0695426709724207
smc_diff_opt,0.5,100,1,404,0.7402073214208367
smc_diff_opt,0.5,100,1,1000,1.4882703878477208
smc_diff_opt,0.5,100,2,0,0.4700614081437484
smc_diff_opt,0.5,100,2,10,0.4967080749851889
smc_diff_opt,0.5,100,2,100,0.5011975192448395
smc_diff_opt,0.5,100,2,101,1.448920120739236
smc_diff_opt,0.5,100,2,404,1.8277454684026413
smc_diff_opt,0.5,100,2,1000,0.1474237548396491
smc_diff_opt,0.5,100,4,0,0.1523824761189769
smc_diff_opt,0.5,100,4,10,0.1809443055575599
smc_diff_opt,0.5,100,4,100,0.1430703962030432
smc_diff_opt,0.5,100,4,101,1.6354941634746571
smc_diff_opt,0.5,100,4,404,0.3512898513585775
smc_diff_opt,0.5,100,4,1000,0.3479953327284139
smc_diff_opt,1.0,10,1,0,0.7817079671858287
smc_diff_opt,1.0,10,1,10,1.262842228038206
smc_diff_opt,1.0,10,1,100,0.3041644732990022
smc_diff_opt,1.0,10,1,101,2.7940227385873646
smc_diff_opt,1.0,10,1,404,0.5901600287446793
smc_diff_opt,1.0,10,1,1000,0.6591511666478327
smc_diff_opt,1.0,10,2,0,1.2529969005526804
smc_diff_opt,1.0,10,2,10,1.0814972218148815
smc_diff_opt,1.0,10,2,100,0.7027117686920066
smc_diff_opt,1.0,10,2,101,1.200371603531585
smc_diff_opt,1.0,10,2,404,0.9231257137587748
smc_diff_opt,1.0,10,2,1000,0.1846781587364138
smc_diff_opt,1.0,10,4,0,0.5436099309002725
smc_diff_opt,1.0,10,4,10,0.9296834314336848
smc_diff_opt,1.0,10,4,100,0.4588182915067037
smc_diff_opt,1.0,10,4,101,0.3576318813947629
smc_diff_opt,1.0,10,4,404,0.2128411315341542
smc_diff_opt,1.0,10,4,1000,0.5092074341785289
smc_diff_opt,1.0,100,1,0,0.7315286696196381
smc_diff_opt,1.0,100,1,10,0.7451695659793134
smc_diff_opt,1.0,100,1,100,1.0519129644781486
