method,sigma_y,dim_x,dim_y,seed,sliced_wasserstein_distance
smc_diff_opt,0.01,8,2,1,0.2713468633848575
smc_diff_opt,0.01,8,2,10,0.2079357810693202
smc_diff_opt,0.01,8,2,100,0.9806110942280082
smc_diff_opt,0.01,8,2,1000,0.1132319310104142
smc_diff_opt,0.01,8,4,0,0.1322465363177651
smc_diff_opt,0.01,8,4,1,0.2784730833186859
smc_diff_opt,0.01,8,4,10,0.230477747608688
smc_diff_opt,0.01,8,4,100,0.2106590783119799
smc_diff_opt,0.01,8,4,1000,0.1324928465704555
smc_diff_opt,0.01,80,1,0,1.0574500162753055
smc_diff_opt,0.01,80,1,1,0.8996512467849028
smc_diff_opt,0.01,80,1,10,0.5290145756834036
smc_diff_opt,0.01,80,1,100,0.8801466818716471
smc_diff_opt,0.01,80,1,1000,0.43508555002088
smc_diff_opt,0.01,80,2,0,0.2003487498068341
smc_diff_opt,0.01,80,2,1,2.261890959001417
smc_diff_opt,0.01,80,2,10,0.3552331861917657
smc_diff_opt,0.01,80,2,100,0.174799554598769
smc_diff_opt,0.01,80,2,1000,0.2350179654120712
smc_diff_opt,0.01,80,4,0,0.2117070150161033
smc_diff_opt,0.01,80,4,1,0.3079046896435177
smc_diff_opt,0.01,80,4,10,0.2525432734790178
smc_diff_opt,0.01,80,4,100,0.2517577844661449
smc_diff_opt,0.01,80,4,1000,0.2648015023967786
smc_diff_opt,0.1,8,1,0,0.6237574390062707
smc_diff_opt,0.1,8,1,1,0.6616853033956521
smc_diff_opt,0.1,8,1,10,1.6342797344848576
smc_diff_opt,0.1,8,1,100,0.6998297425246781
smc_diff_opt,0.1,8,1,1000,1.4320447954377542
smc_diff_opt,0.1,8,2,0,0.1392275705467846
smc_diff_opt,0.1,8,2,1,0.2702265922325506
smc_diff_opt,0.1,8,2,10,0.1764033762690645
smc_diff_opt,0.1,8,2,100,0.1315787613253481
smc_diff_opt,0.1,8,2,1000,0.1794381897162811
smc_diff_opt,0.1,8,4,0,0.1458670475649446
smc_diff_opt,0.1,8,4,1,0.0973920369724115
smc_diff_opt,0.1,8,4,10,0.1835719277805451
smc_diff_opt,0.1,8,4,100,0.1349818642194143
smc_diff_opt,0.1,8,4,1000,0.2008414127531127
smc_diff_opt,0.1,80,1,0,1.563348990307985
smc_diff_opt,0.1,80,1,1,2.272462549757661
smc_diff_opt,0.1,80,1,10,0.2357737920576332
smc_diff_opt,0.1,80,1,100,0.8685374586765171
smc_diff_opt,0.1,80,1,1000,0.8681554557215357
smc_diff_opt,0.1,80,2,0,0.157751442973867
smc_diff_opt,0.1,80,2,1,0.7682806436747173
smc_diff_opt,0.1,80,2,10,0.3937782338864434
smc_diff_opt,0.1,80,2,100,0.1279080918957967
smc_diff_opt,0.1,80,2,1000,0.2144443525886724
smc_diff_opt,0.1,80,4,0,0.2120530732309644
smc_diff_opt,0.1,80,4,1,0.2913392358820529
smc_diff_opt,0.1,80,4,10,0.1986776559556383
smc_diff_opt,0.1,80,4,100,0.174964279241956
smc_diff_opt,0.1,80,4,1000,0.2736397742215092
smc_diff_opt,1.0,8,1,0,0.4908240408688057
smc_diff_opt,1.0,8,1,1,0.9538354291225524
smc_diff_opt,1.0,8,1,10,1.1382680688389648
smc_diff_opt,1.0,8,1,100,2.3514189109942105
smc_diff_opt,1.0,8,1,1000,0.3543954257300861
smc_diff_opt,1.0,8,2,0,0.4157067856351353
smc_diff_opt,1.0,8,2,1,0.4681903839967091
smc_diff_opt,1.0,8,2,10,0.7182160411793369
smc_diff_opt,1.0,8,2,100,0.6942243962422403
smc_diff_opt,1.0,8,2,1000,0.1522148423717053
smc_diff_opt,1.0,8,4,0,0.1127665684828014
smc_diff_opt,1.0,8,4,1,0.1810455162181942
smc_diff_opt,1.0,8,4,10,0.1537694177742968
smc_diff_opt,1.0,8,4,100,0.1340025189084682
smc_diff_opt,1.0,8,4,1000,0.1754048091195974
smc_diff_opt,1.0,80,1,0,1.2082451594682275
smc_diff_opt,1.0,80,1,1,1.472783850956157
smc_diff_opt,1.0,80,1,10,0.3235525878832211
smc_diff_opt,1.0,80,1,100,0.6033902748642102
smc_diff_opt,1.0,80,1,1000,3.0651409831680483
smc_diff_opt,1.0,80,2,0,0.1164194699935871
smc_diff_opt,1.0,80,2,1,1.66672994387083
smc_diff_opt,1.0,80,2,10,1.002570128437862
smc_diff_opt,1.0,80,2,100,0.7778167325252936
smc_diff_opt,1.0,80,2,1000,0.1481995759970331
smc_diff_opt,1.0,80,4,0,0.2041338776999893
smc_diff_opt,1.0,80,4,1,2.043739835988563
smc_diff_opt,1.0,80,4,10,0.2959729125535734
smc_diff_opt,1.0,80,4,100,0.2287752954458411
smc_diff_opt,1.0,80,4,1000,0.7258681595141414
vjp_guidance,0.01,8,1,0,5.31053880107338
vjp_guidance,0.01,8,1,1,0.8297640921351894
vjp_guidance,0.01,8,1,10,1.1345587631463625
vjp_guidance,0.01,8,1,100,6.163368089327271
vjp_guidance,0.01,8,1,1000,0.8863526919081888
vjp_guidance,0.01,8,2,0,0.7205994946342704
vjp_guidance,0.01,8,2,1,0.3989900513101992
vjp_guidance,0.01,8,2,10,0.4591086391903298
vjp_guidance,0.01,8,2,100,0.7742725202556374
vjp_guidance,0.01,8,2,1000,0.0997211958667499
vjp_guidance,0.01,8,4,0,0.0492747167758345
vjp_guidance,0.01,8,4,1,0.0419063146930514
vjp_guidance,0.01,8,4,10,0.0538059906566963
vjp_guidance,0.01,8,4,100,0.1252581246905346
vjp_guidance,0.01,8,4,1000,0.0613150907044457
vjp_guidance,0.01,80,1,0,4.131863754401175
vjp_guidance,0.01,80,1,1,1.4088437067984398
vjp_guidance,0.01,80,1,10,1.290318854921212
vjp_guidance,0.01,80,1,100,1.1864513530369043
vjp_guidance,0.01,80,1,1000,3.637900426671533
vjp_guidance,0.01,80,2,0,0.2568737907585074
vjp_guidance,0.01,80,2,1,1.0710415154099826
vjp_guidance,0.01,80,2,10,1.4898590931082771
vjp_guidance,0.01,80,2,100,0.1446778474052203
vjp_guidance,0.01,80,2,1000,0.1269158991892374
vjp_guidance,0.01,80,4,0,0.2391716155507902
vjp_guidance,0.01,80,4,1,1.118751711603059
